metric,value
net_profit,-6765.625
max_drawdown,29609.375
return_on_account,-0.22849604221635883
sharpe,-0.06814932809503246
num_trades,212
win_rate,0.1650943396226415
avg_winner,723.6607142857143
avg_loser,-804.9081920903955
profit_factor,0.17778021495942092
